0.663124,0.018894
0.663169,0.018887
0.66298,0.018918
0.662532,0.018992
0.661819,0.019111
0.660819,0.019279
0.65951,0.019501
0.65788,0.019784
0.65593,0.020129
0.653676,0.020537
0.651144,0.02101
0.648367,0.021544
0.645421,0.022132
0.642306,0.022776
0.639062,0.023474
0.635727,0.024221
0.632337,0.025013
0.62892,0.025848
0.625502,0.026719
0.622104,0.027625
0.618844,0.028533
0.615645,0.029464
0.612493,0.030421
0.609395,0.031402
0.606359,0.032405
0.603391,0.033428
0.600493,0.034469
0.597667,0.035527
0.596916,0.0366
0.596986,0.037692
0.597059,0.038804
0.597135,0.039935
0.597214,0.041083
0.597298,0.042247
0.597384,0.043426
0.597474,0.044618
0.597567,0.045823
0.597664,0.04704
0.597765,0.048267
0.597868,0.049505
0.597977,0.050767
0.598089,0.052041
0.598205,0.053323
0.598325,0.054611
0.598447,0.055906
0.598574,0.057207
0.598703,0.058513
0.598837,0.059824
0.598973,0.06114
0.599114,0.06246
0.599257,0.063784
0.599404,0.065112
0.599555,0.066443
0.599709,0.067778
0.599867,0.069115
0.600028,0.070456
0.600192,0.071799
0.60036,0.073144
0.600531,0.074492
0.600706,0.075842
0.600886,0.07721
0.601071,0.078584
0.601259,0.079959
0.60145,0.081336
0.601645,0.082714
0.601844,0.084092
0.602046,0.085472
0.602251,0.086853
0.60246,0.088234
0.602672,0.089617
0.602888,0.091
0.603107,0.092383
0.60333,0.093768
0.603557,0.095153
0.603787,0.096538
0.60402,0.097924
0.604257,0.09931
0.604497,0.100697
0.604741,0.102084
0.604988,0.103471
0.605239,0.104859
0.605493,0.106246
0.60575,0.107633
0.606011,0.109021
0.606276,0.110409
0.606544,0.111797
0.606815,0.113185
0.60709,0.114573
0.607369,0.115961
0.607651,0.117349
0.607936,0.118738
0.608224,0.120121
0.608516,0.121504
0.60881,0.122887
0.609109,0.124271
0.609411,0.125654
0.609716,0.127037
0.610025,0.128421
0.610337,0.129804
0.610653,0.131188
0.610968,0.132556
0.611287,0.133921
0.611609,0.135287
0.611934,0.136652
0.612263,0.138018
0.612596,0.139384
0.612932,0.14075
0.613271,0.142116
0.613614,0.143483
0.61396,0.14485
0.61431,0.146217
0.614664,0.147584
0.615021,0.148951
0.615381,0.150319
0.615745,0.151686
0.616113,0.153054
0.616484,0.154422
0.616859,0.15579
0.617237,0.157158
0.617619,0.158526
0.618006,0.159902
0.618398,0.161279
0.618793,0.162657
0.619192,0.164034
0.619594,0.165411
0.62,0.166789
0.62041,0.168166
0.620823,0.169542
0.621239,0.170919
0.62166,0.172295
0.622083,0.173672
