0.716976,0.012381
0.717012,0.012378
0.716642,0.012413
0.715794,0.012492
0.714421,0.012623
0.712445,0.012814
0.709817,0.013075
0.706524,0.013411
0.7026,0.013827
0.698123,0.014323
0.693198,0.014896
0.687937,0.015543
0.682514,0.01625
0.67696,0.017018
0.671361,0.017842
0.66579,0.018716
0.660303,0.019633
0.654938,0.020589
0.649724,0.021577
0.644679,0.022595
0.639907,0.023617
0.635324,0.024657
0.630907,0.025718
0.626656,0.026797
0.62257,0.027893
0.618643,0.029002
0.614871,0.030124
0.611248,0.031257
0.607767,0.032401
0.604404,0.033559
0.601151,0.034733
0.598006,0.035921
0.597662,0.037123
0.59774,0.038337
0.597822,0.039562
0.597907,0.040798
0.597995,0.042043
0.598087,0.043297
0.598182,0.044558
0.59828,0.045828
0.598382,0.047106
0.598487,0.048392
0.598596,0.049683
0.598708,0.05098
0.598823,0.052281
0.598942,0.053586
0.599064,0.054896
0.599189,0.056209
0.599317,0.057525
0.599449,0.058845
0.599584,0.060168
0.599723,0.061493
0.599865,0.062821
0.60001,0.064151
0.600158,0.065483
0.60031,0.066818
0.600465,0.068154
0.600624,0.069491
0.600785,0.07083
0.60095,0.072171
0.601119,0.073517
0.601291,0.074866
0.601467,0.076216
0.601646,0.077567
0.601828,0.078918
0.602014,0.08027
0.602203,0.081623
0.602395,0.082977
0.60259,0.084331
0.602789,0.085686
0.602991,0.087041
0.603197,0.088397
0.603405,0.089753
0.603617,0.09111
0.603833,0.092467
0.604051,0.093824
0.604273,0.095181
0.604498,0.096539
0.604727,0.097896
0.604959,0.099254
0.605194,0.100614
0.605433,0.101975
0.605675,0.103336
0.605921,0.104696
0.60617,0.106057
0.606422,0.107418
0.606677,0.108779
0.606936,0.110139
0.607198,0.1115
0.607463,0.11286
0.607732,0.114221
0.608004,0.115581
0.608279,0.11694
0.608557,0.118299
0.608839,0.119658
0.609124,0.121016
0.609412,0.122375
0.609704,0.123733
0.609999,0.125091
0.610297,0.126449
0.610599,0.127809
0.610904,0.129169
0.611213,0.130529
0.611525,0.131889
0.611841,0.133249
0.61216,0.134608
0.612482,0.135967
0.612807,0.137326
0.613136,0.138684
0.613468,0.140043
0.613804,0.1414
0.614142,0.142758
0.614485,0.144115
0.61483,0.145472
0.615179,0.146828
0.615531,0.148184
0.615886,0.14954
0.616245,0.150895
0.616607,0.15225
0.616973,0.153605
0.617342,0.154961
0.617715,0.156318
0.618091,0.157674
0.618471,0.159029
0.618854,0.160385
0.61924,0.161739
0.61963,0.163094
0.620023,0.164447
0.620419,0.165801
0.620819,0.167153
0.621222,0.168506
0.621628,0.169858
0.622038,0.171209
0.622451,0.17256
0.622868,0.17391
0.623287,0.17526
